"n.sites","n.post.yrs","n.pre.yrs","psi_bh","c_H","c_S","phi_Hb","delta_s","delta_L","e_S","e_L","g_S","d_L"
464,6,3,0.290628769840905,0.386731738320598,0.000529575288668275,0.732775827463251,0.3675074053969,0.0862663481036711,0.421754353130469,0.876334293916891,0.0203288973328192,0.962063123927079
186,5,6,0.61149389276281,0.957024067956302,0.423347656707885,0.104084685383178,0.363312745027058,0.145238716893952,0.20332129880141,0.0781980116714258,0.380535874562687,0.245033625800395
785,4,9,0.687947859952925,0.776439840009389,0.106865768005163,0.610882942895452,0.0883072055770084,0.0844323634273443,0.718741040747194,0.939969779990357,0.546761912019993,0.254115228417329
914,8,9,0.0504746648164,0.907799952573958,0.81315812461616,0.619906450109719,0.988331044126744,0.26367470684308,0.101239266351028,0.236240095375339,0.756226772908308,0.656603321514977
565,9,4,0.510231305916305,0.484195904150605,0.506142006650474,0.731206026072451,0.709706070385012,0.558735261955619,0.342953721359977,0.431873354501021,0.489977938691201,0.0322018679283559
118,5,1,0.490450568876206,0.993889601545199,0.43161508002826,0.932019677594886,0.586973924349877,0.110618426899802,0.736858556993352,0.294636702964781,0.80047220467981,0.596160020745033
800,10,5,0.29153672461661,0.171080358840129,0.715861832219758,0.375572426369949,0.959992542002047,0.588863092959069,0.211972987056943,0.69428834515817,0.947420431909966,0.140044933021674
268,2,2,0.599164577661618,0.259942949189967,0.520212417797791,0.168479284111899,0.159676849673665,0.0420773709719072,0.645426607804326,0.549629396114848,0.925353722462454,0.766163800756098
594,2,5,0.975284837211994,0.863987705640588,0.525255667684786,0.457327673464199,0.906912437512027,0.197447027091873,0.884327448266488,0.559217590850592,0.914749863084406,0.934748346948368
205,9,7,0.167033632866899,0.33502615292198,0.78479939941708,0.760334564032918,0.640003578503919,0.53749968826557,0.538922795888386,0.842032890118379,0.618907630718383,0.835637405208242
761,6,6,0.359301186750899,0.98279376789527,0.944793815779686,0.458376253971411,0.514175146133406,0.0697375242922901,0.496340379631123,0.263115362894931,0.604755158199999,0.970249493602104
570,5,9,0.203252373348339,0.880845578738791,0.796335339542455,0.780273664056859,0.911535219861055,0.575199097845169,0.264825527567649,0.436330277460231,0.975745301586576,0.991966546170646
402,9,7,0.303955317102582,0.829135571563104,0.036385645469022,0.825469612476136,0.258068427436869,0.0937312896944329,0.720326493928116,0.198713204793865,0.743858502003271,0.0333755460686982
787,9,5,0.911239615068608,0.828113027123525,0.115988823583233,0.97477667631763,0.0711336797904922,0.0664266269876627,0.222371196936257,0.141461781364563,0.323748656333215,0.29206471997695
740,3,2,0.620215765739,0.36289113180947,0.511626555059617,0.463079518189072,0.528608266149019,0.383426835012123,0.757326833929797,0.855531059746398,0.987247376755695,0.593603486162494
127,6,2,0.660607742946991,0.101385925144609,0.395599683209416,0.302011289733346,0.484156159466132,0.346506749602499,0.574429726380552,0.382228421857697,0.0554399246360641,0.602766049738391
660,1,4,0.318457669052901,0.503694888197654,0.638593975321809,0.10078797201023,0.202062127157603,0.0341568031759972,0.210685557819344,0.49143486707483,0.804570648970944,0.659861342870141
204,1,9,0.911422995744878,0.960487213162705,0.542715736537147,0.224382187885558,0.66263768388012,0.503739678030391,0.531587473273906,0.97781124435754,0.135947919551679,0.484268965703389
996,3,6,0.202836071020085,0.534058683431381,0.815887937612296,0.264369634778216,0.921509049292863,0.54882186843103,0.314729339018511,0.277063072405267,0.0971181209869916,0.886223671009322
460,5,1,0.356656160947355,0.257065492368001,0.747065910906857,0.795401586453989,0.624103579046484,0.0647327661954581,0.139528194110212,0.707123780611227,0.72538534076151,0.460356464055646
778,3,3,0.969116970723378,0.0206227573261829,0.142045614190982,0.0312317095936509,0.818621484549926,0.519898689920317,0.909943131594243,0.264642210083292,0.275124766901764,0.128969383533229
526,7,5,0.884223387997039,0.851656498209387,0.554249739936669,0.8487284142558,0.413450878308993,0.366577613127822,0.86129277765851,0.599198877948406,0.127368987980648,0.757538956798241
41,6,2,0.131768807310611,0.931901301048673,0.430418053410039,0.669098050378496,0.788413836620911,0.318059451421385,0.90193508039231,0.358238926915987,0.276020345566142,0.512048900575656
235,6,2,0.346703852606844,0.424442535523558,0.329853398574679,0.434801692150277,0.306737573287566,0.155493867781816,0.503116736850305,0.0189512419707375,0.671217194742896,0.725125569132273
455,2,10,0.278904538126173,0.757337821442657,0.83971263112782,0.714107052378939,0.702681358529837,0.262377386533914,0.559349874086049,0.953294554893905,0.926905357933557,0.412015381231601
394,1,2,0.651771672839206,0.25803052421438,0.118167770172912,0.796374291584082,0.456693913237192,0.168729777428525,0.466777846474107,0.788505082528992,0.265464227788779,0.456061254087882
64,8,9,0.811150564873102,0.884194831127208,0.0214265566201182,0.542200144894212,0.69258260681543,0.288294806383689,0.0762198857438285,0.611047624089499,0.62379720331456,0.98004389138897
811,8,6,0.112269184364215,0.82107805523437,0.432710497330944,0.677727958956268,0.608303906070185,0.246384539987277,0.676865207351395,0.677479395950562,0.95221975878391,0.728117127761268
944,7,7,0.465093767439411,0.381390700740949,0.788709013801953,0.543009811272332,0.652663083739718,0.407177459139326,0.39810725062592,0.127410917069181,0.267757889077184,0.98150439462848
788,6,10,0.0119193023795029,0.377332585851219,0.925176073233155,0.0752974119957536,0.351551891838457,0.0580180032152254,0.464616802332387,0.791285707298759,0.0676843354894081,0.195968992359866
947,8,3,0.107407462769351,0.925814406916196,0.223746231401619,0.297657493459177,0.293385667728307,0.222379740328074,0.858707087718137,0.168502504388965,0.00548098224322312,0.0663316060931189
858,5,4,0.6851892635789,0.971676068112324,0.534078732732055,0.118869690428185,0.369411504379008,0.237422747353803,0.387154773523659,0.92990452080993,0.65938730115483,0.692511388626182
387,2,3,0.764013356044074,0.554786719489004,0.878047440384631,0.118458704098733,0.673299182932405,0.0955589984960155,0.0701199521853821,0.455929655557545,0.614034433464101,0.373174985978939
555,6,9,0.429391403028299,0.223034986971435,0.5599047979814,0.692763170549925,0.691763336502807,0.55717058370815,0.60847787301233,0.819380269351811,0.898665116215474,0.848370800291863
714,8,8,0.383081031942135,0.838037649867334,0.153634848451847,0.528590273124888,0.500489600425842,0.0422483845812247,0.23189431012657,0.804399590110453,0.575873649643874,0.568857586468454
560,8,9,0.240574383055326,0.153491705181496,0.0774758077214006,0.787132657647412,0.802372226887662,0.251682898618296,0.526572959960694,0.733551240572357,0.53132915100567,0.553369241742487
576,3,1,0.60177545287949,0.211747443509195,0.110553922917391,0.444731866268814,0.930091895425343,0.24337398071292,0.784909338757792,0.0193879535513697,0.806480844120472,0.948660466768174
734,10,2,0.133424939536536,0.740439745832235,0.0467222419342026,0.807122185187507,0.838622988619981,0.631803865498513,0.597471490102005,0.552832237014594,0.611089410739834,0.425761772891437
800,7,3,0.827605280356784,0.345173501243838,0.864459607839095,0.73182187291726,0.447252073876583,0.166818863553097,0.138732169290446,0.0960982988240896,0.271679903173703,0.659413683284726
999,4,6,0.674515570302168,0.325930502587394,0.261930412970041,0.616970371482801,0.628725640482223,0.503915421485945,0.430109399048192,0.718260304788826,0.870316141187702,0.356449843482277
862,1,2,0.722578969118954,0.939284707586467,0.740680711550056,0.89099927203916,0.972969373342372,0.705946187621512,0.432681273358199,0.73804536569044,0.38866432115864,0.782569374615862
747,10,2,0.0484799541089917,0.531217513600946,0.344183393458603,0.653187755816407,0.395809380313894,0.383829059796657,0.292171413049474,0.241462326497678,0.497148596865381,0.0401217131680809
522,7,5,0.175510814806074,0.390099568659952,0.612013469112129,0.88148700749625,0.707957701050607,0.0933502542682374,0.56302219294766,0.780389152652607,0.663005217731721,0.787713696564897
922,6,4,0.909362436682079,0.330646072968096,0.332922430793475,0.435616453261883,0.96667396030447,0.223962218401596,0.556352213263465,0.144214001242188,0.593161438558903,0.438459668190498
292,9,8,0.759516597896931,0.113188067245996,0.362258262210246,0.300314799397322,0.983178150080168,0.0920297831908156,0.477828060498904,0.175212321335217,0.918360243042419,0.549894308700902
922,3,7,0.940033031338407,0.696140665191668,0.214267095259926,0.910120991683356,0.53258325719852,0.495449899630659,0.211577932478185,0.844897845334373,0.799469709999161,0.826426489485754
477,7,2,0.546688444122509,0.260706443281588,0.0298162720638327,0.905385514846677,0.28354969471884,0.165608643915336,0.717706198830181,0.957630261999043,0.371896059995377,0.256844110689242
31,6,1,0.350790538620832,0.0968901772185462,0.233893383843871,0.872938646245724,0.485088760801288,0.135583389461742,0.548914038828714,0.327554579443135,0.666201864294685,0.293507073711092
892,7,10,0.827714736125944,0.771991501830402,0.624791607340914,0.492242429579911,0.766396183411893,0.455492648578844,0.837911851814133,0.591829674757039,0.806171492459439,0.325401743986295
776,3,2,0.132966643661028,0.486922719834303,0.6048973564232,0.79397278852032,0.59998677582657,0.373863208671938,0.690304264703905,0.18255528083893,0.800575807443308,0.165767868269444
348,10,1,0.0281539574520662,0.577841006979137,0.309659843410715,0.112243266633432,0.45497096159854,0.450183833988864,0.919485234244168,0.366090482350579,0.364779993987037,0.725802798309526
937,8,9,0.265308707879018,0.892311321634962,0.791092814960866,0.903852838709089,0.639396928659757,0.0599997578779687,0.327687605714472,0.794808583676699,0.30187313452228,0.43436922553163
612,4,2,0.304775093442015,0.662049495648569,0.274241101951036,0.665348270589113,0.722941760368529,0.322712282560686,0.452873171966709,0.517928495042725,0.98679578107472,0.977725379086565
304,9,2,0.994478861881723,0.0653876410732279,0.907909392214916,0.96114710000332,0.300238126670127,0.266805366985797,0.973531265170733,0.886915145967668,0.934820945191709,0.76804459311075
198,4,8,0.664750621444266,0.737459437802457,0.0685421230759006,0.389097269754973,0.197161672354653,0.136088202267184,0.318543862082134,0.653283851861581,0.935905297527695,0.932799976496119
298,3,9,0.596834630067903,0.132891837607999,0.0659341542509152,0.216606789914239,0.528769595193886,0.20605436133267,0.899492548499652,0.907678314880189,0.773125850793533,0.465956266736798
534,6,2,0.67367104911732,0.286391329563363,0.665323918198189,0.711507926428854,0.741609574276186,0.474933064510955,0.496732259854674,0.205580030751438,0.945805509167141,0.772723692252813
409,9,3,0.572524512596498,0.480625954959309,0.303668169305194,0.860133292576787,0.103200165272341,0.00367574201001991,0.965166433474096,0.118363910367433,0.342502085394203,0.612415814804519
833,5,9,0.481676858719881,0.345909161757166,0.0077253082402749,0.692887619819003,0.459244343968434,0.0912361521206261,0.318873531802534,0.302314280754258,0.145800863645552,0.423503909681994
350,4,5,0.0693457097480306,0.391074411137169,0.0827363893814152,0.230231875168881,0.900330556539632,0.216612108453983,0.861901439716737,0.307223957053968,0.605892947320756,0.638527333547804
34,3,6,0.480711480224715,0.93543045727436,0.737525449952157,0.52950442183977,0.765200652247202,0.680552550224538,0.201631320624938,0.752820569689292,0.564600939076277,0.463488143134397
460,5,2,0.293389949476556,0.42405179773625,0.971982763174269,0.0723966884839349,0.653075164026395,0.525076892316434,0.15832753816836,0.516438929887069,0.408293784581474,0.313467691410263
756,7,9,0.370160846183985,0.582825498963171,0.901194273970532,0.469666868922859,0.332822868951177,0.294023098335266,0.63415491281054,0.215906103848596,0.991641025524097,0.548905970456637
414,8,6,0.344433019479318,0.78455499744874,0.348895085254055,0.954016310552182,0.539095377158071,0.487337247563056,0.220965293926024,0.77763968767086,0.692651152596506,0.581122098340443
66,8,4,0.182385693699704,0.872490202138852,0.467217558365385,0.0519986455026548,0.820759267814853,0.526233605170749,0.772249393537943,0.79373080849417,0.863380476517743,0.244713847065438
17,6,3,0.546931645919732,0.836259595246823,0.956113851945824,0.868813887853036,0.441284984898753,0.292356093288422,0.154964986287523,0.475133222585777,0.579196612230549,0.518100707812025
165,3,2,0.0739316351257032,0.583770891457424,0.851184798653866,0.337993612527917,0.408935645536613,0.302671719485427,0.721017298289761,0.708372482874058,0.132669819222298,0.33228220584807
685,4,6,0.56733434751411,0.96999289684291,0.750411116835149,0.448113942117477,0.0554747387430631,0.00731932788087056,0.86803500105706,0.896884069428965,0.313614679311123,0.380520293849846
284,9,7,0.471403953295271,0.34298966081501,0.184330453819013,0.607894431658997,0.208298578901519,0.16092139482004,0.253295358616789,0.385655504655559,0.146337507787067,0.264675991808251
926,5,6,0.177803591952031,0.113274099580944,0.612580389036611,0.573874621742382,0.640564610279398,0.47503951886116,0.791921674850397,0.493537495898176,0.211821751720272,0.343062293133535
213,3,1,0.173977220916492,0.670724898686307,0.836852589772618,0.579970074512088,0.811086688024504,0.67302325899223,0.24190601443802,0.755913028832525,0.810805771012092,0.238911074190936
930,2,7,0.583271427015774,0.867466810723534,0.635967594803008,0.314617998658307,0.435591079594265,0.311992916504128,0.722544475470413,0.262498639814346,0.0407140598432394,0.325869481766457
159,9,10,0.354160334831779,0.279738141252985,0.678907457807125,0.827913070546463,0.218188298810134,0.147747599706923,0.583650682611018,0.42469047037831,0.172259034551587,0.0620435567273526
151,10,2,0.763212616490666,0.852750478795124,0.134493937399518,0.285641658085166,0.566168141799839,0.300582788797889,0.168314931267896,0.82554425964707,0.33692729942482,0.724334187002759
264,5,9,0.00308692302736454,0.660364550431864,0.388167831754475,0.787463854668988,0.799142572173523,0.0884993911145507,0.65102844981004,0.816633704378037,0.711868591833301,0.0609186409357004
975,5,7,0.129887644569692,0.226404302861565,0.101371490096883,0.36492712122798,0.320368585005775,0.169236855299988,0.247223122222163,0.894214239348192,0.844048942716233,0.628710238186875
254,4,2,0.783971729361545,0.48285014387269,0.052712359487568,0.166143614775385,0.99921367330288,0.0744882958037128,0.959224308803561,0.110360282590613,0.958361987666623,0.833597278813575
825,8,3,0.423157490311936,0.207817937684408,0.691481274801376,0.157584345245408,0.875589280857309,0.296154556878859,0.790134005728085,0.0514094339246629,0.269210937663889,0.770021944679506
686,3,2,0.361203988219774,0.772892639094754,0.730515360617428,0.830783654037327,0.350231643178221,0.323156191374073,0.678325562542072,0.96770265734347,0.688291243046755,0.0155117525407113
600,8,9,0.800019677052391,0.813857120834081,0.453215587777807,0.994519505261094,0.349600958683458,0.0100059142812167,0.0991168251439696,0.323081733874627,0.546591655017762,0.666734718478424
23,1,8,0.768302406095155,0.0747953999700956,0.490808710910962,0.234337794693583,0.735240594065143,0.235134368469337,0.902359542478085,0.103813331806101,0.159816878324933,0.971793342426536
570,10,3,0.867652704806626,0.355861215602444,0.574447034326196,0.650148083135067,0.945421216312191,0.728424553691249,0.777504961833497,0.828520669832733,0.429011003478081,0.776819219477917
711,5,6,0.931507150120963,0.736147017122875,0.202264580648509,0.654622937623574,0.967954356362065,0.457213153197405,0.794508294854639,0.329481803776627,0.201547000033455,0.306040784680238
803,10,9,0.107748683306389,0.258973522979557,0.967555196152511,0.916879403201747,0.168980232483917,0.0462195241371879,0.373644974801247,0.193501405017381,0.62703213908202,0.53724927104481
459,8,8,0.192437728799763,0.212976831068797,0.999354952222807,0.264514313639747,0.872504789071297,0.359565323808302,0.742449985892628,0.228230841800454,0.92770880954084,0.791759980344493
42,8,5,0.355111735681258,0.151688822543481,0.865495104109216,0.478762175549357,0.555858813467319,0.269502018927538,0.205284271108056,0.777074820676423,0.691571013513464,0.0714413415751187
258,10,5,0.685763435391081,0.084386426141928,0.922992526203091,0.673855974748824,0.0189603630469181,0.0142633299225454,0.995336351664225,0.518934562632046,0.0917355304934317,0.520608162804553
881,1,6,0.390388255260303,0.334447707120306,0.30344277310546,0.497443976598047,0.056708830610523,0.0109546278427341,0.300526478463202,0.998639158942341,0.963396463364502,0.674754591098591
340,6,6,0.00228417274400126,0.761471569079487,0.0284696708670352,0.496111316898419,0.208704577026842,0.0973459087189639,0.711449165083561,0.402489080723724,0.0649981840380933,0.107807534991577
579,5,5,0.060622434671456,0.998215341733838,0.7091356740613,0.570914703062596,0.801191603304981,0.438281317113228,0.351817905938975,0.795118367873202,0.476195844284026,0.922072624088801
547,6,4,0.0228279772775015,0.618522826496814,0.515997287251335,0.628529337372049,0.559074853557465,0.189180090135563,0.612285764854378,0.781811526423623,0.361674052146613,0.41881458067887
750,3,4,0.915177783334302,0.689040097304317,0.725058931334037,0.378511521827476,0.806666659905412,0.165752717633419,0.800723544221348,0.767177903826721,0.454468482413911,0.370687407852942
296,5,8,0.921064079764369,0.564091838979232,0.768797287547425,0.204671460638754,0.591330205366784,0.263610269451104,0.341291432107333,0.246633015776495,0.254884557537432,0.085216177533567
765,9,9,0.944663668062189,0.088323181046918,0.368743718716432,0.834752810517559,0.733693552025012,0.416034722727143,0.901774346952559,0.587996892731613,0.433747356961248,0.275714672134188
251,7,9,0.146763872916461,0.307068025943986,0.261594700462488,0.738108090207563,0.682187627740344,0.409171267505221,0.54533222928897,0.00823537429773714,0.689840861396561,0.4572329428358
553,7,9,0.942432305467385,0.229552897334634,0.54327480297999,0.37874724802475,0.351288610349805,0.0227248347264748,0.653429323804378,0.217487722244207,0.841434347709967,0.049185084431502
197,9,9,0.605316361018107,0.912948549669026,0.872768806253746,0.831239123654529,0.67724603939536,0.000884391517799731,0.0320429619640112,0.497613873942662,0.581373819357413,0.363683603132749
816,8,1,0.120060472681164,0.230922567050252,0.74044301473964,0.0779416684119264,0.217586984586157,0.130007029561392,0.115603479845263,0.0902175494965864,0.34113311668972,0.236565163965756
759,2,5,0.613575893565244,0.776819247682788,0.42726192618194,0.60897189795312,0.170650832847739,0.00945712497700763,0.040843711625156,0.0571571393149439,0.19385933520759,0.975210806337232
288,6,6,0.248935434108553,0.312129468979477,0.347951150142541,0.401020381412678,0.769733541001007,0.238499613477741,0.707448485713499,0.808055975936586,0.27810774022988,0.154717934789159
702,5,9,0.357351943235681,0.518463261357695,0.984308458466409,0.606199775193352,0.316906427190499,0.155497703494271,0.632981250456744,0.86803822852755,0.124712479572464,0.328538625346217
996,5,10,0.294344107041089,0.834854199333512,0.30552055756622,0.840463111465215,0.00769922993844375,0.00574447339845781,0.0193133419056423,0.401324922278267,0.330030503772129,0.218200117952912
42,8,1,0.337841450694506,0.0444086818788666,0.59952815109957,0.259535428354726,0.346945140416059,0.260840980929651,0.983674260981032,0.963258069612947,0.765402820623899,0.898483222130011
536,6,8,0.974293349167285,0.0936932933127508,0.0274993841220392,0.560480190243875,0.372112908052001,0.127262683005389,0.999242084897566,0.963301200235961,0.839470122045651,0.366402577411896
2,6,5,0.173619014109205,0.666557352959644,0.0696109076683177,0.408859217683878,0.659335456466256,0.245570341522489,0.176738956981385,0.931981106853927,0.0359272702098824,0.904246408251463
646,6,5,0.28958549870057,0.163270761900605,0.168675391011569,0.425177113890368,0.843312992452271,0.657259360515777,0.264053816737165,0.0028630840375321,0.578131387608498,0.0758279952519573
548,4,8,0.335405250779982,0.621705323724821,0.806220622844156,0.210802235805662,0.233667230713973,0.141802279883279,0.479492693879572,0.326611814515945,0.675297070483933,0.218015914067789
845,1,4,0.896023279583082,0.894790335840965,0.108468027456291,0.841724380066106,0.0796311680515762,0.075352452467451,0.0265656559606781,0.875097071895236,0.719823431140999,0.164297452211822
494,4,8,0.823828527104692,0.2985599397226,0.248173188439454,0.0347774927879917,0.0782787369299913,0.0713905743139336,0.980234413839946,0.663190355947614,0.812626393546816,0.588330373253766
376,9,7,0.988611503068195,0.670514402233483,0.210723880688194,0.764804731714469,0.243136117043369,0.237437455470692,0.049642542366148,0.338209117554594,0.00753377998627257,0.454832151387446
434,5,2,0.525308284623874,0.0356647044714773,0.386482494849805,0.879549167696852,0.9452158034269,0.723534558216337,0.131383458707202,0.450399076994532,0.965989292166894,0.663928780051228
851,5,10,0.596518012441136,0.954128291758429,0.852941807639366,0.771853245833726,0.684517370758578,0.1331801996215,0.458976053734054,0.606946887660725,0.30885369910216,0.424429038411542
196,4,9,0.400385780941322,0.720342019554391,0.859054915951728,0.334179550444358,0.104336406336352,0.0207880790587383,0.785306901747384,0.216223836499988,0.0975058018014534,0.168549111949489
601,10,9,0.0336653429220896,0.444832274017553,0.657646121743857,0.857907828025357,0.491912114252802,0.145509699557611,0.600863855549018,0.194961924392218,0.279836908512842,0.466591880078684
161,7,8,0.0752284435202833,0.235819174089911,0.667071501888824,0.478527203745954,0.421453988112137,0.374154619909645,0.190056955583626,0.481797436916293,0.915951544553903,0.664060273630195
73,1,9,0.778351289784117,0.728951777025778,0.752920287818811,0.351564041163307,0.454433422948117,0.422823144068366,0.260539217064762,0.505146741043171,0.392502025768533,0.316723358377651
537,4,2,0.264467629087856,0.403559726872668,0.94780071572999,0.533693949236441,0.532008171778452,0.155412811410348,0.675038522612047,0.225003492280934,0.58463998503529,0.604556399586727
746,4,7,0.239620165641047,0.257814591669571,0.69914020239138,0.564013954930007,0.137656353511103,0.0875457959642793,0.841957352929167,0.937907941521541,0.921866711004637,0.0291219333373709
424,10,8,0.282653922676085,0.9736101519919,0.364344311066973,0.0846590870999265,0.684853863826045,0.0549509910727026,0.320433453302248,0.0384968152508838,0.335892614637734,0.534548674306879
278,1,10,0.51900682820105,0.242560803255229,0.772759737701551,0.146903520820383,0.999074584372481,0.158425613418534,0.841466418658267,0.470291697896435,0.924324948406499,0.645960828988417
258,3,9,0.526844997717533,0.727184815007308,0.026277807740937,0.0800544450973393,0.554112363765622,0.528917703425291,0.928650138293766,0.623795261337818,0.0895364462822443,0.288218476460455
521,2,8,0.253664916337654,0.358878235407802,0.229252364238934,0.939093319703639,0.516372711140872,0.490111235190011,0.0270242904642364,0.50675236275536,0.28190455744483,0.204777053289185
419,7,8,0.250301804909343,0.629352691394091,0.359701790675148,0.440045980397146,0.0430219456235645,0.0153661911019366,0.983837050552946,0.537924652405665,0.565493564540404,0.188892989962245
48,8,10,0.875182023568568,0.624596460290975,0.295328253225959,0.893425743354904,0.814561491078162,0.212132134301511,0.580246085399506,0.0074829506654758,0.564103215495916,0.854388970627589
880,3,7,0.56680874682595,0.653066776836594,0.0881111465302994,0.23355669217403,0.527547221878893,0.00775020126843773,0.922037373362621,0.580480085929879,0.402571287528425,0.654019139872002
